10/Nov/2017:05:32:51 +0000 127.0.0.1 "GET / HTTP/1.0" 200 - 441.249 ms "-" - "Mozilla/5.0 (Windows NT 6.4; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36"
10/Nov/2017:05:41:50 +0000 127.0.0.1 "GET / HTTP/1.0" 200 - 205.522 ms "-" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
10/Nov/2017:05:41:57 +0000 127.0.0.1 "GET / HTTP/1.0" 200 - 3.500 ms "-" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
10/Nov/2017:05:41:57 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 200 - 12.236 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
10/Nov/2017:05:41:57 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 200 - 3.948 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
10/Nov/2017:05:41:57 +0000 127.0.0.1 "GET /styles/style.css HTTP/1.0" 200 - 1.813 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
10/Nov/2017:05:41:57 +0000 127.0.0.1 "GET /images/0.svg HTTP/1.0" 200 - 1.107 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
10/Nov/2017:05:41:57 +0000 127.0.0.1 "GET /styles/toastr.min.css HTTP/1.0" 200 - 1.276 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
10/Nov/2017:05:42:14 +0000 127.0.0.1 "GET / HTTP/1.0" 200 - 139.648 ms "-" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
10/Nov/2017:05:42:14 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 200 - 1.126 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
10/Nov/2017:05:42:14 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 200 - 1.770 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1"
